"","Estimate","Std. Error","t value","Pr(>|t|)"
"length",0.0340022727463802,0.00457397823417962,7.43385101666947,1.48692113369122e-13
"cs",0.891398607375747,0.136723784763708,6.51970400699705,8.65602236159302e-11
"sc",0.458213123521083,0.0997119635795075,4.59536756746062,4.55696385693836e-06
"rs",0.265208200549983,0.0135491777870363,19.5737486597698,5.93810920179557e-79
