GDS_SS,GDS_TS,GDS_TSS,GDS_DTSS,LMS,SRR,PRR,SPRR,MW,LRI
0.7279615196323515,0.7969440441883284,0.6359961270885596,0.7864708523902236,0.8053539678312136,0.3600223792814234,0.24473115695671754,0.4394110696087958,0.8503282459627325,0.7214195817478589
0.4586386750631172,0.7938469074283949,0.7938469074283949,0.7580391083788559,0.7411390325304431,0.3877725195562063,0.2930707334046539,0.3996826718445298,0.7522654093425803,0.5741641897150787
0.372205887206007,0.3439835094789631,0.3439835094789631,0.3439835094789631,0.37630452037145345,0.15469993095040432,0.3045369237089044,0.31879420248188833,0.5279222121856334,0.6617638985254797
0.24873969677938507,0.3949329094447116,0.4611422470330936,0.3949329094447116,0.3949329094447116,0.28932684239873857,0.08508543494049456,0.10997132933936402,0.10997132933936402,0.11458202415614135
0.18298307801837735,0.7503146005634013,0.7503146005634013,0.7485603940792818,0.8409706843872825,0.25920992192717224,0.40538892708269436,0.3467976388975395,0.7984957239149358,0.6089554101057357
0.8472598257948015,0.7152646159729569,0.7152646159729569,0.741547123697828,0.515806003028793,0.1362083067458918,0.23249293065545107,0.34609361463880783,0.6772445623116589,0.44804942167519735
0.35065018838202405,0.6041912934033781,0.6041912934033781,0.5660141457790169,0.5207324637066146,0.46465689143511807,0.4487863157874456,0.442598416730109,0.38938256858240006,0.698462664410085
0.6105598609078446,0.7051979168075567,0.7051979168075567,0.7034727135237752,0.7259748238649412,0.5679119224682329,0.5813882555323966,0.5968044967069609,0.6867194444002644,0.7407211095449886
0.469182974937575,0.6133425367878678,0.6133425367878678,0.5845700647744299,0.6472819658420976,0.4488530964509597,0.5367077571527038,0.6151380198295694,0.6920523668631565,0.8355132821896081
0.7997119624162032,0.8101852086688869,0.7822841796645015,0.8301975921042528,0.8246574188240093,0.9135574123412236,0.8838471375260143,0.8583441445606005,0.8145829321651762,0.7831001832649561
1.0,0.9590182693017715,0.9590182693017715,0.9631883898281782,0.9699814248469512,0.9762108420286688,0.9762108420286688,0.9830522619107275,0.9849907124234756,0.8789121845803505
