"","Estimate","Std. Error","t value","Pr(>|t|)"
"length",0.0374769310014499,0.0046234936364311,8.10576026452122,8.47972603499744e-16
"cs",0.686449093030616,0.12794756462249,5.36508135231793,8.91351059959958e-08
"sc",0.525543498963156,0.0945636835412962,5.55756162706637,3.05650474154613e-08
"rs",0.253764742890481,0.0136059449437236,18.651019384548,2.42782595049344e-72
