"","Estimate","Std. Error","t value","Pr(>|t|)"
"length:sc",0.0918991341237894,0.0427694726892833,2.14870860792297,0.0317374133891644
"length:rs",0.128605233131559,0.00848298141687563,15.1603813342934,4.45276174737393e-50
"sc:cs",1.75909283362432,0.464880470514913,3.78396802015776,0.000157368791521041
"rs:cs",1.83600388550137,0.208852084216649,8.7909291994272,2.45189211419924e-18
