length,cs,sc,rs,rel
0.0,0.49923017660270624,0.49923017660270624,0.9,0.8
0.5656058528692011,0.0026472241316326914,1.0E-4,0.9,0.4
0.5656058528692011,0.0026472241316326914,9.0E-5,0.8,0.4
0.5656058528692011,0.0026472241316326914,8.0E-5,0.7,0.0
0.5656058528692011,0.0026472241316326914,7.0E-5,0.6,0.6
0.5656058528692011,0.0026472241316326914,0.0076028592126970536,0.5,0.0
0.5656058528692011,0.0026472241316326914,5.0E-5,0.4,0.0
0.5656058528692011,0.0026472241316326914,0.0076028592126970536,0.3,0.0
0.5656058528692011,0.0026472241316326914,0.010846522890932806,0.2,0.6
0.5656058528692011,0.0026472241316326914,2.0E-5,0.1,0.0
0.5656058528692011,0.0026472241316326914,1.0E-5,0.0,0.0
3.0302627708631094,0.17079865981428566,0.2048947537364853,0.9,0.4
3.0302627708631094,0.17079865981428566,0.27645932699948955,0.8,0.4
3.0302627708631094,0.17079865981428566,0.29121317541970504,0.7,0.6
3.0302627708631094,0.17079865981428566,0.1113791243414709,0.6,0.6
3.0302627708631094,0.17079865981428566,0.1906466572480966,0.5,0.6
3.0302627708631094,0.17079865981428566,0.10055480711596879,0.4,0.6
3.0302627708631094,0.17079865981428566,0.12967401359400918,0.3,0.6
3.0302627708631094,0.17079865981428566,0.023368249513479433,0.2,0.4
3.0302627708631094,0.17079865981428566,0.20899783035986616,0.1,0.8
0.0,0.05970645506662381,0.1012154560247233,0.9,0.6
0.0,0.05970645506662381,0.1804230782939011,0.8,0.6
0.0,0.05970645506662381,0.13273016332964999,0.7,0.6
0.0,0.05970645506662381,0.1792067857190319,0.6,0.4
0.0,0.05970645506662381,5.9999999999999995E-5,0.5,0.0
0.0,0.05970645506662381,6.172369140834694E-4,0.4,0.0
0.0,0.05970645506662381,0.0027518303848484515,0.3,0.4
0.0,0.05970645506662381,2.9999999999999997E-5,0.2,0.0
0.0,0.05970645506662381,2.0E-5,0.1,0.0
0.0,0.05970645506662381,1.0E-5,0.0,0.0
0.0,0.1044545965967331,0.10515712281065748,0.9,0.6
0.0,0.1044545965967331,0.10515712281065748,0.8,0.4
0.0,0.1044545965967331,0.09938837346736189,0.7,0.6
0.0,0.1044545965967331,0.10515712281065748,0.6,0.6
0.0,0.1044545965967331,0.0779666547283578,0.5,0.2
0.0,0.1044545965967331,0.049694186733680944,0.4,0.2
0.0,0.1044545965967331,0.11894734808191616,0.3,0.6
0.0,0.1044545965967331,0.11894734808191616,0.2,0.4
0.0,0.1044545965967331,0.136851465828547,0.1,0.6
0.0,0.1044545965967331,0.12727922061357855,0.0,0.6
0.0,3.8159505261886964E-4,1.0E-4,0.9,0.0
0.0,3.8159505261886964E-4,9.0E-5,0.8,0.0
0.0,3.8159505261886964E-4,8.0E-5,0.7,0.0
0.0,3.8159505261886964E-4,7.0E-5,0.6,0.0
0.0,3.8159505261886964E-4,0.0033259505261886957,0.5,0.2
0.0,3.8159505261886964E-4,5.0E-5,0.4,0.0
0.0,3.8159505261886964E-4,4.0E-5,0.3,0.0
0.0,3.8159505261886964E-4,2.9999999999999997E-5,0.2,0.0
0.0,3.8159505261886964E-4,2.0E-5,0.1,0.0
0.0,3.8159505261886964E-4,1.0E-5,0.0,0.0
1.696817558607603,0.19487917360844526,0.49923017660270624,0.9,0.8
1.696817558607603,0.19487917360844526,9.0E-5,0.8,0.0
1.696817558607603,0.19487917360844526,8.0E-5,0.7,0.0
1.696817558607603,0.19487917360844526,7.0E-5,0.6,0.0
