"","Estimate","Std. Error","t value","Pr(>|t|)"
"length",0.0421525410725183,0.00466708352842208,9.03188057719847,3.62359783565526e-19
"cs",0.804521329128539,0.131200252590439,6.13201052013195,1.0275904664014e-09
"sc",0.391685153708714,0.0946598170383076,4.13781862213197,3.63965042662901e-05
"rs",0.258470750014843,0.0138806110649859,18.6209921742451,6.28202574332412e-72
