LRI,PRR,SPRR,SRR1,SRR2,SRR3,SRR4,SRR5
0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.0
0.6199062332840657,0.11990623328406573,0.11990623328406573,0.0,0.0,0.19004688335796716,0.0,0.11990623328406573
0.5209090851403014,0.10075757095025123,0.10075757095025123,0.0,0.0,0.1596969716198995,0.0,0.10075757095025123
0.45791971679717963,0.08857376396551761,0.08857376396551761,0.0,0.0,0.14038609443307223,0.0,0.08857376396551761
0.41305473970168133,0.07989569279756414,0.07989569279756414,0.0,0.0,0.12663167705327655,0.0,0.07989569279756414
0.39522718233687293,0.07644737249120866,0.07644737249120866,0.0,0.04316027792753082,0.12116621867722781,0.04316027792753082,0.07644737249120866
0.37988414071491483,0.07347962312972321,0.07347962312972321,0.03882081574257807,0.04148476073070768,0.11646244722773422,0.04148476073070768,0.07347962312972321
0.36642187024873224,0.07087566456892651,0.07087566456892651,0.03744509018514654,0.04001463073757178,0.18321093512436612,0.04001463073757178,0.07087566456892651
0.35443615583148214,0.06855731093441415,0.06855731093441415,0.03622025566044231,0.03870574615541872,0.17721807791574107,0.03870574615541872,0.06855731093441415
0.3436423477188358,0.12737642806833224,0.12737642806833224,0.03511722346985595,0.03752702217372362,0.1718211738594179,0.03752702217372362,0.12737642806833224
0.3338319918312903,0.12374006573019254,0.12374006573019254,0.03411469144110951,0.03645569483188722,0.16691599591564515,0.03645569483188722,0.12374006573019254
0.3248475930202958,0.12040985734207449,0.12040985734207449,0.03319656495616842,0.03547456507405649,0.1624237965101479,0.03547456507405649,0.12040985734207449
0.3248475930202958,0.12040985734207449,0.12040985734207449,0.03319656495616842,0.03547456507405649,0.1624237965101479,0.03547456507405649,0.12040985734207449
0.3248475930202958,0.12040985734207449,0.12040985734207449,0.03319656495616842,0.08645612825396615,0.1624237965101479,0.08645612825396615,0.12040985734207449
0.3248475930202958,0.12040985734207449,0.12040985734207449,0.08299141239042104,0.08645612825396615,0.1624237965101479,0.08645612825396615,0.12040985734207449
0.3248475930202958,0.12040985734207449,0.12040985734207449,0.10735608522938955,0.08645612825396615,0.1624237965101479,0.08645612825396615,0.12040985734207449
0.3248475930202958,0.12040985734207449,0.1442927077132583,0.10735608522938955,0.08645612825396615,0.1624237965101479,0.08645612825396615,0.12040985734207449
0.3248475930202958,0.12040985734207449,0.1442927077132583,0.10735608522938955,0.13334473195698593,0.2093124002131677,0.08645612825396615,0.12040985734207449
0.3248475930202958,0.12040985734207449,0.19037847900885907,0.15344185652499032,0.15638761760478634,0.2093124002131677,0.10949901390176651,0.14345274298987487
0.3701948142170283,0.165757078538807,0.19037847900885907,0.15344185652499032,0.15638761760478634,0.2093124002131677,0.10949901390176651,0.14345274298987487
0.3701948142170283,0.165757078538807,0.19037847900885907,0.15344185652499032,0.15638761760478634,0.2093124002131677,0.10949901390176651,0.14345274298987487
0.3701948142170283,0.18777284749166845,0.19037847900885907,0.15344185652499032,0.15638761760478634,0.23132816916602916,0.10949901390176651,0.14345274298987487
0.3701948142170283,0.18777284749166845,0.19037847900885907,0.15344185652499032,0.15638761760478634,0.23132816916602916,0.15294089367846744,0.18689462276657579
0.3701948142170283,0.18777284749166845,0.19037847900885907,0.15344185652499032,0.1992785646103336,0.2527736426688028,0.15294089367846744,0.18689462276657579
0.3701948142170283,0.18777284749166845,0.19037847900885907,0.15344185652499032,0.1992785646103336,0.295148271784519,0.19531552279418365,0.18689462276657579
0.3701948142170283,0.20871754803888268,0.2113231795560733,0.15344185652499032,0.1992785646103336,0.295148271784519,0.19531552279418365,0.20783932331379
0.3701948142170283,0.2501497686604796,0.2113231795560733,0.15344185652499032,0.1992785646103336,0.295148271784519,0.19531552279418365,0.20783932331379
0.3906950374514114,0.2501497686604796,0.2113231795560733,0.15344185652499032,0.1992785646103336,0.295148271784519,0.19531552279418365,0.20783932331379
0.3906950374514114,0.2501497686604796,0.2113231795560733,0.15344185652499032,0.1992785646103336,0.295148271784519,0.19531552279418365,0.20783932331379
0.3906950374514114,0.2501497686604796,0.2113231795560733,0.19364603440938596,0.21938065355253145,0.295148271784519,0.21541761173638146,0.24804350119818563
0.3906950374514114,0.2501497686604796,0.2511590575034754,0.21356397338308705,0.21938065355253145,0.295148271784519,0.21541761173638146,0.24804350119818563
0.3906950374514114,0.2501497686604796,0.27090170498740573,0.21356397338308705,0.21938065355253145,0.295148271784519,0.21541761173638146,0.24804350119818563
0.41027055042833355,0.2697252816374018,0.27090170498740573,0.21356397338308705,0.21938065355253145,0.295148271784519,0.21541761173638146,0.24804350119818563
0.41027055042833355,0.2697252816374018,0.27090170498740573,0.23297988288535146,0.21938065355253145,0.295148271784519,0.23483352123864587,0.24804350119818563
0.41027055042833355,0.2697252816374018,0.27090170498740573,0.23297988288535146,0.21938065355253145,0.3144115483002754,0.23483352123864587,0.24804350119818563
0.41027055042833355,0.2697252816374018,0.27090170498740573,0.23297988288535146,0.21938065355253145,0.3144115483002754,0.23483352123864587,0.2671606115509878
0.41027055042833355,0.2697252816374018,0.27090170498740573,0.23297988288535146,0.2383576105728765,0.3144115483002754,0.23483352123864587,0.2671606115509878
0.41027055042833355,0.2697252816374018,0.27090170498740573,0.23297988288535146,0.2383576105728765,0.3144115483002754,0.23483352123864587,0.2671606115509878
0.4476967212043643,0.2697252816374018,0.27090170498740573,0.23297988288535146,0.2383576105728765,0.3144115483002754,0.23483352123864587,0.2671606115509878
