LRI,PRR,SPRR,SRR1,SRR2,SRR3,SRR4,SRR5
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,0.8800937667159344,1.0,1.0,1.0,1.0,0.8800937667159344
0.9600757570950251,1.0,0.8992424290497488,1.0,1.0,1.0,1.0,0.8992424290497488
0.9649034763917319,0.9395390000481981,0.9114262360344825,0.9395390000481981,1.0,0.9395390000481981,0.9395390000481981,0.9114262360344825
0.9683420807366808,0.9454627051836334,0.920104307202436,0.9454627051836334,0.9510121802471221,0.9454627051836334,0.9454627051836334,0.920104307202436
0.929587203279283,0.8879138044459784,0.864653790630328,0.8879138044459784,0.8930040655398402,0.9086010750604606,0.9086010750604606,0.864653790630328
0.8987127432615589,0.895969446552528,0.8743811314306027,0.8600344142912759,0.9006938702531376,0.9151699216931529,0.8792348894319008,0.8384460991693506
0.9051632935507679,0.8707518534393766,0.8346169792793904,0.8371053690192821,0.8751753988888652,0.8887295327964101,0.8869259005618898,0.8009704948592961
0.9105964885550156,0.8495114793970667,0.815446772212673,0.8464376025857968,0.8536815999234736,0.8521367172444201,0.8934039158281183,0.8123728954014031
0.8631141040874574,0.8182503940368343,0.8250701646007026,0.8153368022721169,0.8613112653289886,0.8207387407865901,0.8598540916378644,0.7960844404127063
0.8696719984708693,0.826957607531603,0.8094967865515005,0.82418359937367,0.8320247220610192,0.8293267432036548,0.8306373582732526,0.8058535747270422
0.8754525825874693,0.8235442203966111,0.8068578588054053,0.8208932509357266,0.8283865875085724,0.825808275135362,0.8270607590238982,0.8033762384437085
0.8805997602447662,0.8308366176630044,0.8148398542131984,0.817963441832894,0.8354788640151384,0.8330071056927194,0.8238760649905537,0.8011703558356572
0.8561861203749115,0.8277070318364007,0.8220083204931953,0.8153322403992302,0.8321695538407421,0.8297934895247805,0.8306946947980139,0.8088680360983257
0.861426121307189,0.8248756992812346,0.8193846261216943,0.8220607928518324,0.8291756248830312,0.8268861348202866,0.8368635010315338,0.815832118227559
0.8403754932781733,0.8309050074589598,0.8256029850032305,0.8281870146976474,0.8350568920608031,0.8328462262451874,0.8424800843570862,0.8135656016609986
0.8374250811398019,0.836425308377211,0.8231348384232271,0.833796047622155,0.840441649921063,0.8383031538388528,0.839460965417343,0.8196519674656785
0.8347103935869932,0.8337416653557754,0.8208638855918912,0.8311940473209981,0.8376332931189278,0.8433240975986894,0.8133943698342849,0.8174891633064767
0.8322016072434514,0.8238575590866245,0.8113611681540126,0.8065773717697198,0.8276339322490964,0.840560207458827,0.81892088950636,0.7932783721384429
0.8369530284641311,0.8288452524600194,0.8167027124557967,0.8120543752453514,0.8325146928963394,0.8167586945756052,0.8098902459034912,0.7991319534109402
0.8413770374694212,0.806355911956885,0.8216761801817054,0.8035872976098622,0.8099257882161968,0.8149473081806182,0.8082652234654154,0.7977988393868647
0.8324835440742242,0.8114006930317826,0.8198088851821228,0.8087042061295102,0.8083646123220787,0.8197682677409299,0.8132602634990984,0.8030665477826736
0.8304166008452201,0.809862061924904,0.7992654126225556,0.8072331458988263,0.8131667758498975,0.8117552408605286,0.8116750336842057,0.795472046892734
0.8345109743691344,0.8144526984107063,0.8041118916056896,0.8118872541880447,0.8176776242593549,0.8163001689706959,0.8162218982937048,0.8004101118228895
0.8325420915544687,0.8129511205244382,0.8028512272452701,0.8162697850393751,0.8161009141061903,0.8031068685863154,0.8205034433695069,0.8050600298216632
0.8194278344805179,0.8171619872178496,0.8072894639413006,0.8204059415612435,0.8202408722706562,0.8075393502539733,0.8189162614399073,0.8094485416905398
0.8223938250503249,0.8256403667099419,0.8159300046992458,0.8233558662198434,0.8286686794942825,0.8161757865008783,0.8109403124253957,0.8016281048360193
0.8252345225090293,0.8337605918119003,0.8082111788289357,0.8315126304496698,0.8207461066476761,0.8244473915250451,0.8192956555172595,0.8101323907472505
0.8331548181188438,0.8259598811353114,0.8163968360403551,0.8237469612219664,0.828736368137521,0.827183923326684,0.8273085267859028,0.8130920662276376
0.8407597873303457,0.8336742458377712,0.8242566021571163,0.8314949722872679,0.8364085177157289,0.8348796770674656,0.8299342160087175,0.8210020797498998
0.8282815392311035,0.8410900025768131,0.8318121321062099,0.8339958620460962,0.8437836933953791,0.8373303322805574,0.8374054808974222,0.8236587011675598
0.8307710688050414,0.8482264183355197,0.8197527361998743,0.8412351268087701,0.8508810567253261,0.8445212547611906,0.844595313892957,0.8117175115819655
0.837893026657701,0.8503772464578344,0.8270308380887247,0.8482087954138472,0.8529942651852414,0.8325532953527585,0.8326263049707585,0.819109483005209
0.8401399795880821,0.838590229487114,0.829428351022369,0.8364518351848401,0.8411709739088746,0.8394945709229389,0.8395665685599505,0.8262371022774955
0.8377867426237307,0.8272144075077013,0.8181768136992128,0.8251050214052,0.829760143068061,0.8416718931999068,0.8462647181661627,0.8150288555584236
0.8443694097607486,0.8295096307274201,0.8205920891458589,0.8318561480797693,0.8320215496293125,0.8482029513590815,0.8483068837394918,0.8219138304866792
0.837718454960387,0.8317285029210546,0.8272652361049002,0.8340444811753467,0.8342077300818952,0.8371638882650229,0.8502811162962767,0.8285697754470337
0.8440412687777977,0.8381277336362878,0.8294689022972643,0.8361616610528856,0.8405753320215749,0.8434937769748896,0.8564436617840949,0.8307567989602982
0.8459925365269252,0.8443234670094931,0.8357729700882002,0.8423819928182064,0.8467404424232119,0.8454518946328972,0.8457283213662319,0.8328742745088608
